id;email_identifier;main_email;clear_copy_email;blind_copy_email;language_key_code;preferred_greeting;preferred_greeting_designation;preferred_prefix;preferred_suffix;time_based_greetings;slogan_based_greeting;add_prefix;add_suffix;preferred_signature;preferred_signature_designation;include_service_details;include_message_of_the_day;include_treasury_quote;created_at;last_modifed_at;persona_name
1;25313bdb-be90-452c-aebb-94ffe5fc7118;Grocery Lakes Ergonomic;false;true;"fytqy";collaborative;killer Rapids AGP;human-resource;Bacon Public-key Salad;false;false;true;false;Officer Licensed;strategize Island Frozen;false;true;false;2024-04-17T08:35:30;2024-04-17T09:18:52;Liaison blockchains Generic
2;289a7de4-5839-465c-a4e3-a7de39140374;indexing;true;true;"ia";violet Designer salmon;Ford communities;Metal;COM help-desk Stream;false;true;false;false;Streets;hack schemas;true;true;true;2024-04-17T04:14:11;2024-04-17T16:07:52;Handmade Infrastructure
3;0c7a9583-719b-48c2-b278-6e10e0382ccd;Iran;true;true;"vh";Sausages;Shirt 1080p;Arkansas;Georgia program SMS;false;true;true;false;mobile;SQL;false;false;false;2024-04-17T01:48:10;2024-04-17T12:00:31;Card Avon
4;bfd9cb26-a4ad-4618-9de7-6bed35798a3f;help-desk Granite Hat;true;false;"qfup";compressing transmit e-tailers;digital;neural AI ivory;Market Camp;false;false;true;true;Steel Borders Bacon;Incredible visionary Plastic;false;false;true;2024-04-16T17:57:47;2024-04-16T20:06:30;Administrator Rustic Cambridgeshire
5;0cd3d642-a968-456e-9ad0-8a479d04bfea;website;true;false;"xv";parse e-business;Outdoors;calculating Ruble;Designer Berkshire Administrator;false;false;true;false;Director Frozen tangible;Som GB Yemen;true;true;false;2024-04-17T06:02:56;2024-04-17T10:44:03;tertiary
6;6c6c87bd-9e41-4ddb-bfd9-5870e502fe1a;Unbranded;false;false;"wmh";Rustic Market;eco-centric;orchid;National;false;true;false;false;teal Assurance Optimized;microchip Principal;false;true;true;2024-04-17T10:16:06;2024-04-17T04:50:42;Orchestrator withdrawal
7;e4b1d75e-fde4-4b47-a7a9-036be8516376;streamline mobile Quality-focused;true;true;"tnzh";seamless;quantifying web-readiness AGP;ubiquitous Senior Jewelery;Bike index Metal;true;false;true;true;Cambridgeshire e-services JSON;red Frozen;true;false;false;2024-04-17T07:11:19;2024-04-17T02:00:43;Market high-level throughput
8;2c0ed99f-e94c-44f7-8f8e-b29467ebabce;Chicken;false;false;"p";distributed;Platinum;Managed Hat mission-critical;concept Gloves Direct;false;false;true;true;Steel;connect New;true;true;true;2024-04-17T05:32:31;2024-04-17T07:33:31;transmitting multi-byte Facilitator
9;0b1d762c-d8ca-4ae7-8606-ca7e6e122b37;compress;true;false;"jwcnx";monitor;District;THX Identity holistic;bus;false;true;true;false;Branding Outdoors;Pizza;false;false;false;2024-04-17T06:14:32;2024-04-16T21:38:46;teal
10;ec6835de-6293-4408-9257-2b55f26e7bf4;FTP Hawaii;true;true;"fukl";Caribbean;capability teal Cambridgeshire;Handmade Trace Credit;alliance;false;true;true;true;Grass-roots teal transmitting;Accountability yellow;false;false;false;2024-04-17T09:41:53;2024-04-17T17:14:24;Louisiana Mills Handmade
